api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.lax.cbrt,python,2.038599267713684,2.1228,2321,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.cbrt/coverage.json,,,,0,False,json2init/results/jax/jax.lax.cbrt.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.cbrt.results.json
jax.lax.ceil,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.ceil/coverage.json,,,,0,False,json2init/results/jax/jax.lax.ceil.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.ceil.results.json
jax.lax.clz,python,2.047987553814997,2.1022,2342,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.clz/coverage.json,,,,0,False,json2init/results/jax/jax.lax.clz.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.clz.results.json
jax.lax.conj,python,2.3034830541435873,2.4476,2606,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.conj/coverage.json,,,,0,False,json2init/results/jax/jax.lax.conj.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.conj.results.json
jax.lax.convert_element_type,python,2.0446345944930995,2.1287,2328,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.convert_element_type/coverage.json,,,,0,False,json2init/results/jax/jax.lax.convert_element_type.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.convert_element_type.results.json
jax.lax.cos,python,2.0406110433068227,2.1258,2323,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.cos/coverage.json,,,,0,False,json2init/results/jax/jax.lax.cos.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.cos.results.json
jax.lax.cosh,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.cosh/coverage.json,,,,0,False,json2init/results/jax/jax.lax.cosh.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.cosh.results.json
jax.lax.exp,python,2.038599267713684,2.1228,2321,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.exp/coverage.json,,,,0,False,json2init/results/jax/jax.lax.exp.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.exp.results.json
jax.lax.exp2,python,2.0439640026287202,2.1169,2331,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.exp2/coverage.json,,,,0,False,json2init/results/jax/jax.lax.exp2.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.exp2.results.json
jax.lax.expm1,python,2.038599267713684,2.1228,2321,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.expm1/coverage.json,,,,0,False,json2init/results/jax/jax.lax.expm1.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.expm1.results.json
jax.lax.floor,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.floor/coverage.json,,,,0,False,json2init/results/jax/jax.lax.floor.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.floor.results.json
jax.lax.full,python,2.1593058033019945,2.2793,2448,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.full/coverage.json,,,,0,False,json2init/results/jax/jax.lax.full.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.full.results.json
jax.lax.full_like,python,2.2196590710961495,2.3472,2515,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.full_like/coverage.json,,,,0,False,json2init/results/jax/jax.lax.full_like.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.full_like.results.json
jax.lax.integer_pow,python,2.144552782285645,2.2527,2435,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.integer_pow/coverage.json,,,,0,False,json2init/results/jax/jax.lax.integer_pow.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.integer_pow.results.json
