api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.numpy.from_dlpack,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.greater,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.greater_equal,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.heaviside,selected_function_line_coverage_percent=57.1429 < 60,selected_function,,,4,7,,,,,,,,,,,,,
jax.numpy.histogram,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,10,18,,,,,,,,,,,,,
jax.numpy.hstack,selected_function_line_coverage_percent=44.4444 < 60,selected_function,,,4,9,,,,,,,,,,,,,
jax.numpy.identity,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.imag,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.invert,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.iscomplex,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.isinf,selected_function_line_coverage_percent=50 < 60,selected_function,,,6,12,,,,,,,,,,,,,
jax.numpy.isnan,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.isneginf,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.isposinf,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.isreal,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.left_shift,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.less,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.less_equal,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.linalg.diagonal,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.linalg.lstsq,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.linalg.matrix_transpose,selected_function_line_coverage_percent=57.1429 < 60,selected_function,,,4,7,,,,,,,,,,,,,
jax.numpy.linalg.norm,selected_function_line_coverage_percent=14 < 60,selected_function,,,7,50,,,,,,,,,,,,,
jax.numpy.linalg.outer,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.linalg.trace,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.linalg.vector_norm,selected_function_line_coverage_percent=12 < 60,selected_function,,,3,25,,,,,,,,,,,,,
jax.numpy.log,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.log10,selected_function_line_coverage_percent=46.1538 < 60,selected_function,,,6,13,,,,,,,,,,,,,
jax.numpy.log1p,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
